,0,1
1461,cart-horse,1
1462,trampled,1
1463,series,1
1464,charges,1
1465,forwards,1
1466,each,8
1467,barking,1
1468,hoarsely,1
1469,mouth,10
1470,faint,1
1471,leant,1
1472,buttercup,1
1473,fanned,1
1474,teaching,1
1475,tricks,1
1476,if—if,1
1477,see—how,1
1478,blades,1
1479,grass,4
1480,circumstances,1
1481,mushroom,8
1482,height,5
1483,stretched,2
1484,tiptoe,2
1485,edge,3
1486,immediately,3
1487,blue,1
1488,arms,6
1489,folded,3
1490,quietly,5
1491,smoking,2
1492,hookah,5
1493,addressed,2
1494,languid,1
1495,encouraging,2
1496,shyly,1
1497,i—i,2
1498,present—at,1
1499,sternly,1
1500,clearly,1
1501,sizes,1
1502,confusing,3
1503,isn,7
1504,haven,8
1505,turn,10
1506,chrysalis—you,1
1507,know—and,1
1508,butterfly,1
1509,may,13
1510,contemptuously,2
1511,brought,3
1512,irritated,1
1513,remarks,3
1514,state,1
1515,promising,1
1516,swallowing,1
1517,anger,2
1518,wait,1
1519,puffed,1
1520,unfolded,2
1521,used—and,1
1522,busy,2
1523,bee,1
1524,father,6
1525,man,5
1526,incessantly,1
1527,stand,6
1528,head—,1
1529,youth,6
1530,son,1
1531,feared,1
1532,injure,1
1533,brain,1
1534,perfectly,4
1535,none,4
1536,most,8
1537,uncommonly,1
1538,fat,1
1539,back-somersault,1
1540,door—,1
1541,pray,3
1542,sage,1
1543,grey,1
1544,limbs,1
1545,supple,1
1546,ointment—one,1
1547,shilling,1
1548,box—,1
1549,sell,2
1550,couple,1
1551,weak,2
1552,tougher,1
1553,suet,1
1554,bones,1
1555,beak—,1
1556,argued,1
1557,wife,1
1558,muscular,1
1559,strength,1
1560,jaw,1
1561,lasted,2
1562,steady,1
1563,balanced,1
1564,eel,1
1565,nose—,1
1566,awfully,1
1567,clever,2
1568,questions,3
1569,airs,1
1570,stuff,4
1571,timidly,9
1572,altered,1
1573,decidedly,4
1574,changing,2
1575,often,5
1576,contradicted,1
1577,losing,1
1578,content,1
1579,wretched,2
1580,rearing,1
1581,upright,1
1582,piteous,1
1583,patiently,2
1584,chose,2
1585,yawned,2
1586,crawled,1
1587,merely,2
1588,taller,2
1589,shorter,2
1590,thoughtfully,4
1591,difficult,2
1592,broke,2
1593,nibbled,2
1594,right-hand,1
1595,violent,2
1596,blow,2
1597,closely,1
1598,swallow,1
1599,morsel,1
1600,lefthand,2
1601,free,3
1602,alarm,2
1603,immense,1
1604,length,1
1605,rise,1
1606,stalk,1
1607,green,4
1608,result,1
1609,follow,2
1610,shaking,3
1611,distant,2
1612,serpent,9
1613,succeeded,3
1614,curving,1
1615,graceful,1
1616,zigzag,1
1617,dive,1
1618,tops,1
1619,wandering,2
1620,hiss,1
1621,draw,7
1622,pigeon,12
1623,flown,1
1624,beating,2
1625,wings,1
1626,screamed,4
1627,indignantly,4
1628,repeated,10
1629,subdued,1
1630,sob,1
1631,roots,1
1632,banks,1
1633,hedges,1
1634,serpents,3
1635,pleasing,1
1636,puzzled,9
1637,hatching,1
1638,eggs,5
1639,look-out,1
1640,sleep,6
1641,weeks,1
1642,sorry,1
1643,annoyed,1
1644,taken,4
1645,highest,1
1646,tree,5
1647,raising,1
1648,needs,1
1649,wriggling,1
1650,sky,4
1651,a—i,1
1652,a—,1
1653,invent,1
1654,doubtfully,2
1655,changes,2
1656,deepest,1
1657,contempt,1
1658,girls,3
1659,denying,1
1660,telling,2
1661,tasted,2
1662,egg,1
1663,truthful,1
1664,silent,7
1665,adding,1
1666,matters,2
1667,yours,3
1668,raw,1
1669,settled,3
1670,nest,1
1671,crouched,1
1672,entangled,2
1673,branches,2
1674,untwist,1
1675,pieces,3
1676,nibbling,3
1677,bringing,3
1678,beautiful,13
1679,garden—how,1
1680,whoever,1
1681,lives,4
1682,frighten,1
1683,wits,1
1684,righthand,1
1685,footman,11
1686,livery,3
1687,wood—,1
1688,considered,3
1689,otherwise,4
1690,judging,1
1691,fish,4
1692,—and,3
1693,rapped,1
1694,loudly,3
1695,knuckles,1
1696,footmen,1
1697,powdered,1
1698,crept,1
1699,fish-footman,2
1700,producing,1
1701,letter,3
1702,invitation,2
1703,frog-footman,1
1704,order,3
1705,curls,1
1706,laughed,2
1707,ground,4
1708,staring,3
1709,stupidly,1
1710,knocked,1
1711,reasons,1
1712,secondly,2
1713,inside,2
1714,extraordinary,2
1715,within—a,1
1716,constant,2
1717,howling,3
1718,sneezing,6
1719,dish,4
1720,kettle,1
1721,between,6
1722,instance,3
1723,knock,1
1724,uncivil,1
1725,questions.—how,1
1726,remarked,10
1727,tomorrow—,1
1728,skimming,1
1729,grazed,1
1730,nose,7
1731,—or,2
1732,maybe,1
1733,louder,1
1734,told,6
1735,dreadful,2
1736,muttered,2
1737,argue,1
1738,drive,2
1739,crazy,1
1740,repeating,3
1741,remark,10
1742,variations,1
1743,days,4
1744,whistling,1
1745,desperately,1
1746,idiotic,1
1747,kitchen,4
1748,smoke,1
1749,stool,1
1750,nursing,3
1751,baby,12
1752,cook,13
1753,leaning,2
1754,stirring,2
1755,cauldron,2
1756,soup,18
1757,sneezed,1
1758,occasionally,1
1759,alternately,1
1760,pause,2
1761,sneeze,2
1762,hearth,1
1763,grinning,1
1764,ear,6
1765,manners,1
1766,grins,1
1767,cheshire,7
1768,violence,1
1769,courage,3
1770,grinned,3
1771,pleased,7
1772,introduce,2
1773,fix,1
1774,throwing,2
1775,within,1
1776,baby—the,1
1777,fire-irons,1
1778,saucepans,1
1779,plates,2
1780,dishes,2
1781,already,2
1782,blows,1
1783,jumping,4
1784,agony,1
1785,terror,1
1786,precious,1
1787,unusually,1
1788,saucepan,1
1789,flew,1
1790,carried,4
1791,minded,1
1792,growl,3
1793,faster,3
1794,advantage,3
1795,takes,2
1796,twenty-four,2
1797,hours,4
1798,axis—,1
1799,axes,1
1800,chop,1
1801,glanced,1
1802,meant,5
1803,hint,2
1804,busily,4
1805,i—,1
1806,bother,1
1807,abide,1
1808,figures,1
1809,singing,2
1810,lullaby,1
1811,shake,1
1812,line,2
1813,roughly,1
1814,boy,2
1815,beat,4
1816,sneezes,2
1817,annoy,1
1818,teases,1
1819,wow,6
1820,sang,2
1821,verse,4
1822,song,7
1823,tossing,3
1824,howled,1
1825,thoroughly,2
1826,enjoy,1
1827,pleases,1
1828,flinging,1
1829,threw,2
1830,frying-pan,1
1831,missed,2
1832,caught,3
1833,queer-shaped,1
1834,creature,4
1835,star-fish,1
1836,snorting,1
1837,steam-engine,1
1838,doubling,1
1839,straightening,1
1840,proper,3
1841,twist,2
1842,tight,1
1843,prevent,1
1844,undoing,1
1845,kill,1
1846,murder,1
1847,grunted,4
1848,grunt,1
1849,expressing,1
1850,turn-up,1
1851,snout,1
1852,also,2
1853,extremely,1
1854,sobbing,3
1855,seriously,1
1856,sobbed,1
1857,neither,2
1858,less,4
1859,carry,1
1860,relieved,1
1861,trot,1
1862,dreadfully,6
1863,ugly,2
1864,handsome,1
1865,pigs,2
1866,them—,2
1867,startled,2
1868,seeing,1
1869,bough,1
1870,yards,1
1871,good-natured,1
1872,teeth,1
1873,treated,1
1874,respect,1
1875,puss,1
1876,wider,1
1877,depends,1
1878,where—,1
1879,—so,2
1880,explanation,2
1881,denied,2
1882,waving,5
1883,hatter,56
1884,march,33
1885,hare,31
1886,visit,1
1887,grant,1
1888,growls,1
1889,wags,1
1890,wag,1
1891,therefore,1
1892,growling,1
1893,invited,2
1894,happening,1
1895,by-the-bye,1
1896,became,2
1897,appear,2
1898,hatters,1
1899,raving,2
1900,mad—at,1
1901,branch,1
1902,fig,1
1903,appearing,1
1904,vanishing,1
1905,giddy,2
1906,ending,1
1907,farther,1
1908,chimneys,1
1909,shaped,2
1910,thatched,1
1911,raised,2
1912,towards,1
1913,instead,3
1914,front,2
1915,tea,11
1916,dormouse,40
1917,fast,4
1918,asleep,8
1919,using,2
1920,cushion,2
1921,resting,2
1922,elbows,1
1923,arm-chair,1
1924,wine,2
1925,civil,3
1926,laid,2
1927,wants,2
1928,cutting,1
1929,personal,2
1930,severity,1
1931,rude,2
1932,wide,2
1933,raven,1
1934,writing-desk,1
1935,fun,3
1936,riddles.—i,1
1937,least—at,1
1938,say—that,1
1939,breathe,3
1940,ravens,1
1941,writing-desks,1
1942,break,2
1943,month,2
1944,uneasily,2
1945,fourth,1
1946,butter,3
1947,works,1
1948,meekly,2
1949,crumbs,4
1950,grumbled,1
1951,bread-knife,1
1952,gloomily,1
1953,cup,2
1954,shoulder,4
1955,tells,2
1956,clock,5
1957,year,2
1958,readily,1
1959,stays,1
1960,poured,1
1961,riddle,1
1962,slightest,1
1963,wearily,1
1964,waste,1
1965,riddles,1
1966,answers,1
1967,cautiously,3
1968,music,3
1969,accounts,1
1970,terms,1
1971,twinkling,4
1972,half-past,2
1973,then—i,1
1974,mournfully,1
1975,quarrelled,1
1976,march—just,1
1977,know—,4
1978,spoon,2
1979,concert,2
1980,given,1
1981,hearts,8
1982,sing,6
1983,twinkle,6
1984,fly,3
1985,tea-tray,1
1986,twinkle—,1
1987,twinkle_—,1
1988,pinch,2
1989,bawled,1
1990,murdering,1
1991,exclaimed,6
1992,mournful,1
1993,tea-things,1
1994,sigh,4
1995,wash,2
1996,whiles,1
1997,interrupted,9
1998,yawning,2
1999,vote,1
2000,lady,3
2001,alarmed,1
2002,proposal,1
2003,wake,2
2004,pinched,2
2005,fellows,1
2006,sisters,1
2007,names,2
2008,elsie,1
2009,lacie,1
2010,tillie,1
2011,lived,3
2012,bottom,4
2013,well—,1
2014,interest,1
2015,eating,1
2016,drinking,1
2017,treacle,5
2018,ill,2
2019,ways,1
2020,living,2
2021,opinion,1
2022,triumphantly,2
2023,helped,1
2024,bread-and-butter,5
2025,treacle-well,1
2026,sh,2
2027,sulkily,2
2028,interrupt,1
2029,consented,1
2030,sisters—they,1
2031,learning,2
2032,promise,1
2033,clean,1
2034,unwillingly,1
2035,upset,3
2036,milk-jug,1
2037,offend,1
2038,water-well,1
2039,treacle-well—eh,1
2040,choosing,1
2041,—well,1
2042,interrupting,2
2043,rubbing,2
2044,manner,2
2045,things—everything,1
2046,begins,4
2047,m—,2
2048,closed,2
2049,doze,1
2050,woke,1
2051,—that,1
2052,mouse-traps,1
2053,moon,1
2054,memory,1
2055,muchness—you,1
2056,muchness,2
2057,—did,1
2058,drawing,1
2059,piece,5
2060,rudeness,1
2061,disgust,1
2062,teapot,1
2063,stupidest,1
2064,leading,1
2065,today,1
2066,unlocking,1
2067,then_—she,1
2068,flower-beds,1
2069,rose-tree,4
2070,entrance,1
2071,roses,3
2072,gardeners,8
2073,painting,2
2074,red,2
2075,paint,1
2076,jogged,1
2077,blame,1
2078,deserved,1
2079,beheaded,3
2080,spoken,1
2081,him—it,1
2082,tulip-roots,1
2083,onions,1
2084,flung,1
2085,brush,1
2086,unjust,1
2087,things—,1
2088,chanced,1
2089,watching,3
2090,checked,3
2091,afore,1
2092,to—,1
2093,themselves,3
2094,flat,2
2095,faces,5
2096,eager,3
2097,soldiers,10
2098,carrying,2
2099,clubs,1
2100,oblong,1
2101,corners,1
2102,courtiers,2
2103,ornamented,2
2104,diamonds,1
2105,royal,2
2106,merrily,1
2107,couples,1
2108,guests,3
2109,mostly,2
2110,kings,1
2111,queens,1
2112,recognised,1
2113,noticing,1
2114,knave,9
2115,king,63
2116,crimson,2
2117,velvet,1
2118,procession,5
2119,doubtful,2
2120,lie,2
2121,rule,5
2122,processions,1
2123,opposite,1
2124,smiled,2
2125,idiot,1
2126,majesty,12
2127,pack,5
2128,cards,3
2129,needn,3
2130,pattern,1
2131,backs,1
2132,glaring,1
2133,beast,1
2134,off—,1
2135,consider,4
2136,bowing,1
2137,humble,1
2138,knee,5
2139,trying—,1
2140,meanwhile,1
2141,examining,1
2142,remaining,1
2143,execute,1
2144,unfortunate,3
2145,protection,1
2146,flower-pot,1
2147,marched,1
2148,evidently,1
2149,roared,1
2150,s—it,1
2151,fine,2
2152,peeping,1
2153,—where,1
2154,hush,3
2155,whispered,5
2156,execution,2
2157,boxed,1
2158,ears—,1
2159,scream,2
2160,laughter,1
2161,said—,3
2162,places,1
2163,thunder,1
2164,ridges,1
2165,furrows,1
2166,balls,1
2167,hedgehogs,3
2168,mallets,1
2169,flamingoes,2
2170,double,1
2171,arches,4
2172,chief,1
2173,managing,1
2174,flamingo,5
2175,body,2
2176,tucked,3
2177,comfortably,1
2178,straightened,1
2179,hedgehog,7
2180,expression,1
2181,bursting,1
2182,laughing,2
2183,provoking,1
2184,unrolled,2
2185,act,1
2186,crawling,1
2187,ridge,1
2188,furrow,1
2189,send,1
2190,doubled-up,1
2191,parts,1
2192,players,4
2193,played,1
2194,turns,3
2195,quarrelling,2
2196,fighting,1
2197,furious,1
2198,stamping,2
2199,shouting,2
2200,uneasy,1
2201,dispute,2
2202,beheading,1
2203,alive,3
2204,appearance,1
2205,nodded,1
2206,account,1
2207,someone,1
2208,fairly,1
2209,complaining,1
2210,quarrel,1
2211,oneself,1
2212,speak—and,1
2213,attends,1
2214,arch,1
2215,ground—and,1
2216,croqueted,1
2217,extremely—,1
2218,—likely,1
2219,win,1
2220,finishing,1
2221,friend,3
2222,mine—a,1
2223,kiss,1
2224,likes,1
2225,impertinent,1
2226,removed,2
2227,passing,1
2228,settling,1
2229,difficulties,1
2230,executioner,6
2231,screaming,1
2232,search,1
2233,engaged,1
2234,fight,2
2235,croqueting,1
2236,helpless,1
2237,collected,2
2238,appealed,1
2239,settle,1
2240,arguments,1
2241,unless,2
2242,weren,1
2243,anxious,3
2244,prison,1
2245,arrow,1
2246,fading,1
2247,entirely,2
2248,disappeared,2
2249,wildly,2
2250,affectionately,1
2251,pleasant,1
2252,hopeful,1
2253,without—maybe,1
2254,hot-tempered,1
2255,vinegar,1
2256,sour—and,1
2257,camomile,1
2258,bitter—and—and,1
2259,barley-sugar,1
2260,sweet-tempered,1
2261,stingy,1
2262,forget,2
2263,moral,8
2264,hasn,2
2265,tut,2
2266,squeezed,1
2267,closer,1
2268,keeping,2
2269,uncomfortably,1
2270,bore,1
2271,tis,5
2272,is—,6
2273,minding,1
2274,morals,1
2275,waist,1
2276,experiment,2
2277,bite,2
2278,mustard,2
2279,feather,1
2280,flock,1
2281,mineral,1
2282,agree,2
2283,mustard-mine,1
2284,attended,1
2285,vegetable,1
2286,simply—,1
2287,imagine,2
2288,present,2
2289,cheap,1
2290,birthday,1
2291,dig,1
2292,worried,1
2293,died,1
2294,favourite,1
2295,linked,1
2296,hers,3
2297,tremble,1
2298,thunderstorm,1
2299,fair,1
2300,warning,1
2301,choice,2
2302,absence,1
2303,shade,1
2304,delay,1
2305,cost,1
2306,whom,1
2307,sentenced,1
2308,custody,2
2309,company,1
2310,pardoned,1
2311,executions,2
2312,gryphon,55
2313,sun,2
2314,picture,1
2315,lazy,1
2316,leaving,1
2317,rubbed,1
2318,watched,2
2319,chuckled,1
2320,executes,1
2321,ledge,1
2322,rock,1
2323,heart,2
2324,pitied,1
2325,sorrow,2
2326,hollow,1
2327,occasional,1
2328,exclamation,1
2329,hjckrrh,1
2330,heavy,2
2331,calmly,1
2332,school,5
2333,turtle—we,1
2334,tortoise—,1
2335,tortoise,2
2336,sink,1
2337,mayn,1
2338,it—,1
2339,educations—in,1
2340,day—,1
2341,day-school,1
2342,proud,2
2343,extras,1
2344,learned,1
2345,relief,2
2346,ours,1
2347,washing_—extra,1
2348,afford,1
2349,regular,2
2350,inquired,1
2351,reeling,1
2352,writhing,1
2353,arithmetic—ambition,1
2354,distraction,1
2355,uglification,2
2356,derision,1
2357,lifted,1
2358,uglifying,1
2359,beautify,1
2360,means—to—make—anything—prettier,1
2361,uglify,1
2362,simpleton,1
2363,encouraged,1
2364,mystery,1
2365,counting,1
2366,subjects,1
2367,flappers,1
2368,—mystery,1
2369,ancient,1
2370,modern,1
2371,seaography,1
2372,drawling—the,1
2373,drawling-master,1
2374,conger-eel,1
2375,week,3
2376,drawling,1
2377,fainting,1
2378,coils,1
2379,stiff,1
2380,classics,1
2381,grief,1
2382,hid,1
2383,lessen,1
2384,eleventh,1
2385,holiday,1
2386,twelfth,1
2387,games,1
2388,flapper,1
2389,sobs,4
2390,bone,1
2391,punching,1
2392,recovered,2
2393,cheeks,1
2394,sea—,1
2395,introduced,1
2396,lobster—,1
2397,tasted—,1
2398,delightful,2
2399,dance,13
2400,form,1
2401,sea-shore—,1
2402,lines,1
2403,seals,1
2404,turtles,2
2405,salmon,1
2406,cleared,1
2407,jelly-fish,1
2408,way—,1
2409,—you,1
2410,advance,3
2411,twice—,1
2412,partner,1
2413,partners—,1
2414,—change,1
2415,lobsters,7
2416,retire,1
2417,the—,1
2418,bound,1
2419,—as,1
2420,can—,1
2421,somersault,1
2422,capering,1
2423,yelled,1
2424,land,1
2425,figure,3
2426,dropping,1
2427,pretty,1
2428,dancing,2
2429,treading,2
2430,toes,3
2431,forepaws,1
2432,mark,3
2433,whiting,8
2434,snail,3
2435,porpoise,4
2436,shingle—will,1
2437,join,9
2438,askance—,1
2439,thanked,1
2440,kindly,2
2441,scaly,1
2442,england,1
2443,france—,1
2444,beloved,1
2445,they—you,1
2446,dinn—,1
2447,dinn,1
2448,tails,3
2449,mouths—and,1
2450,mouths,3
2451,eyes.—,1
2452,thrown,1
2453,shiny,1
2454,blacking,1
2455,soles,1
2456,eels,1
2457,shrimp,1
2458,thoughts,2
2459,obliged,3
2460,anywhere,1
2461,journey,1
2462,purpose,1
2463,adventures—beginning,1
2464,impatient,1
2465,explanations,1
2466,gained,1
2467,listeners,1
2468,part,2
2469,sluggard,1
2470,baked,1
2471,sugar,1
2472,eyelids,1
2473,trims,1
2474,belt,1
2475,buttons,1
2476,editions,2
2477,follows,3
2478,sands,1
2479,gay,1
2480,lark,1
2481,contemptuous,1
2482,tones,2
2483,shark,1
2484,tide,1
2485,rises,1
2486,sharks,1
2487,around,3
2488,tremulous,1
2489,uncommon,1
2490,explained,1
2491,persisted,2
2492,disobey,1
2493,owl,3
2494,panther,3
2495,sharing,1
2496,pie—,1
2497,pie-crust,1
2498,gravy,1
2499,meat,1
2500,share,1
2501,treat,1
2502,pie,1
2503,boon,1
2504,permitted,1
2505,received,1
2506,fork,1
2507,banquet—,1
2508,hm,1
2509,accounting,1
2510,tastes,1
2511,rich,1
2512,tureen,1
2513,dainties,1
2514,evening,2
2515,beau—ootiful,4
2516,soo—oop,7
2517,e—e—evening,3
2518,cares,2
2519,p,1
2520,ennyworth,1
2521,pennyworth,1
2522,beauti—ful,1
2523,panted,1
2524,faintly,1
2525,breeze,1
2526,seated,1
2527,throne,1
2528,arrived,1
2529,them—all,1
2530,standing,1
2531,chains,1
2532,soldier,1
2533,guard,1
2534,trumpet,3
2535,scroll,2
2536,parchment,2
2537,court,18
2538,refreshments,1
2539,pass,1
2540,justice,1
2541,books,1
2542,wig,2
2543,wore,1
2544,frontispiece,1
2545,comfortable,1
2546,becoming,1
2547,jury-box,4
2548,jurors,4
2549,rightly,1
2550,jury-men,1
2551,writing,4
2552,slates,8
2553,indignant,1
2554,spectacles,3
2555,spell,1
2556,neighbour,1
2557,muddle,1
2558,pencil,1
2559,squeaked,1
2560,quickly,2
2561,juror,1
2562,slate,2
2563,herald,1
2564,accusation,1
2565,blew,2
2566,blasts,2
2567,summer,2
2568,verdict,3
2569,witness,10
2570,teacup,3
2571,sent,2
2572,arm-in-arm,1
2573,fourteenth,1
2574,fifteenth,1
2575,sixteenth,1
2576,wrote,3
2577,dates,1
2578,reduced,1
2579,shillings,1
2580,pence,1
2581,hat,1
2582,stolen,1
2583,memorandum,1
2584,fidgeted,1
2585,spot,1
2586,encourage,1
2587,shifting,1
2588,remain,1
2589,squeeze,1
2590,boldly,1
2591,reasonable,1
2592,pace,1
2593,ridiculous,1
2594,fashion,2
2595,officers,4
2596,list,3
2597,singers,2
2598,tea—not,1
2599,so—and,1
2600,thin—and,1
2601,tea—,1
2602,dunce,1
2603,twinkled,1
2604,that—only,1
2605,deny,2
2606,denies,1
2607,bread-and-butter—,1
2608,miserable,2
2609,speaker,1
2610,suppressed,4
2611,canvas,1
2612,bag,1
2613,tied,1
2614,strings,1
2615,guinea-pig,2
2616,newspapers,1
2617,trials,1
2618,attempts,1
2619,applause,1
2620,understood,1
2621,lower,1
2622,officer,1
2623,pepper-box,1
2624,cross-examine,2
2625,folding,1
2626,collar,1
2627,shrieked,1
2628,behead,1
2629,suppress,1
2630,undertone,2
2631,ache,1
2632,fumbled,1
2633,—for,1
2634,flurry,1
2635,tipped,1
2636,skirt,1
2637,upsetting,1
2638,jurymen,4
2639,sprawling,1
2640,reminding,1
2641,globe,1
2642,goldfish,2
2643,accidentally,1
2644,dismay,1
2645,accident,2
2646,vague,1
2647,die,1
2648,places—_all,1
2649,emphasis,1
2650,haste,1
2651,downwards,1
2652,unable,1
2653,signifies,1
2654,shock,1
2655,pencils,1
2656,diligently,1
2657,overcome,1
2658,gazing,1
2659,un_important,2
2660,respectful,1
2661,important—unimportant—unimportant—important—,1
2662,unimportant,1
2663,note-book,2
2664,cackled,1
2665,forty-two,1
2666,persons,1
2667,mile,2
2668,invented,1
2669,oldest,1
2670,prisoner,2
2671,to—to,1
2672,directed,2
2673,verses,4
2674,handwriting,1
2675,queerest,1
2676,imitated,1
2677,prove,1
2678,signed,2
2679,sign,1
2680,mischief,1
2681,honest,1
2682,clapping,1
2683,proves,2
2684,guilt,1
2685,character,1
2686,push,1
2687,returned,2
2688,involved,1
2689,affair,1
2690,trusts,1
2691,fit,2
2692,obstacle,1
2693,ourselves,1
2694,secret,1
2695,jury—,1
2696,sixpence,1
2697,atom,2
2698,attempted,1
2699,saves,1
2700,spreading,1
2701,—_said,1
2702,swim_—,1
2703,cardboard,1
2704,true_—,1
2705,course—,1
2706,two_—,1
2707,clearer,1
2708,again—,1
2709,fit_—,1
2710,fits,1
2711,furiously,1
2712,inkstand,1
2713,ink,1
2714,trickling,1
2715,pun,1
2716,twentieth,1
2717,first—verdict,1
2718,purple,1
2719,rose,1
2720,flying,1
2721,brushing,1
2722,fluttered,1
2723,kissed,1
2724,wonderful,2
2725,setting,1
2726,dreaming,1
2727,dreamed,1
2728,clasped,1
2729,hers—she,1
2730,toss,1
2731,eyes—and,1
2732,listened,1
2733,rustled,1
2734,by—the,1
2735,splashed,1
2736,neighbouring,1
2737,pool—she,1
2738,rattle,1
2739,teacups,2
2740,shared,1
2741,never-ending,1
2742,meal,1
2743,execution—once,1
2744,pig-baby,1
2745,crashed,1
2746,it—once,1
2747,slate-pencil,1
2748,choking,1
2749,believed,1
2750,reality—the,1
2751,rustling,1
2752,rippling,1
2753,reeds—the,1
2754,tinkling,1
2755,sheep-bells,1
2756,cries,1
2757,shepherd,1
2758,boy—and,1
2759,noises,1
2760,clamour,1
2761,farm-yard—while,1
2762,lowing,1
2763,cattle,1
2764,lastly,1
2765,pictured,1
2766,after-time,1
2767,woman,1
2768,riper,1
2769,years,1
2770,loving,1
2771,childhood,1
2772,gather,1
2773,sorrows,1
2774,joys,1
2775,remembering,1
2776,child-life,1
2777,happy,1
